id,manufacturer,company_location,year_reviewed,bean_origin,bar_name,cocoa_percent,num_ingredients,Beans,Sugat,Sweetener,Cocoa_butter,Vanilla,Lecithin,Salt,review,rating
2454,null,U.S.A.,2019,Tanzania,Kokoa Kamili_ batch 1,76,3,1,1,0,1,0,0,0,rich cocoa_ fatty_ bready,3.25
2458,null,U.S.A.,2019,Dominican Republic,Zorzal_ batch 1,76,3,1,1,0,1,0,0,0,cocoa_ vegetal_ savory,3.5
2454,null,U.S.A.,2019,Madagascar,Bejofo Estate_ batch 1,76,3,1,1,0,1,0,0,0,cocoa_ blackberry_ full body,3.75
2542,null,U.S.A.,2021,Fiji,Matasawalevu_ batch 1,68,3,1,1,0,1,0,0,0,chewy_ off_ rubbery,3
2546,null,U.S.A.,2021,Venezuela,Sur del Lago_ batch 1,72,3,1,1,0,1,0,0,0,fatty_ earthy_ moss_ nutty_chalky,3
2546,null,U.S.A.,2021,Uganda,Semuliki Forest_ batch 1,80,3,1,1,0,1,0,0,0,mildly bitter_ basic cocoa_ fatty,3.25
2542,null,U.S.A.,2021,India,Anamalai_ batch 1,68,3,1,1,0,1,0,0,0,milk brownie_ macadamia_chewy,3.5
797,A_ Morin,France,2012,Bolivia,Bolivia,70,4,1,1,0,1,0,1,0,vegetal_ nutty,3.5
797,A_ Morin,France,2012,Peru,Peru,63,4,1,1,0,1,0,1,0,fruity_ melon_ roasty,3.75
1011,A_ Morin,France,2013,Panama,Panama,70,4,1,1,0,1,0,1,0,brief fruit note_ earthy_ nutty,2.75
1015,A_ Morin,France,2013,Colombia,Colombie,70,4,1,1,0,1,0,1,0,burnt rubber_alkalyzed notes,2.75
1011,A_ Morin,France,2013,Madagascar,Madagascar_ Criollo,70,4,1,1,0,1,0,1,0,sticky_ red fruit_ sour,3
1015,A_ Morin,France,2013,Burma,Birmanie,70,4,1,1,0,1,0,1,0,sticky_ smokey_ grass,3
1011,A_ Morin,France,2013,Brazil,Brazil,70,4,1,1,0,1,0,1,0,mild tobacco,3.25
1015,A_ Morin,France,2013,Papua New Guinea,Papua New Guinea,70,4,1,1,0,1,0,1,0,mild fruit_ strong smoke,3.25
1019,A_ Morin,France,2013,Peru,Piura,70,4,1,1,0,1,0,1,0,green_ nutty_ cocoa,3.25
1019,A_ Morin,France,2013,Peru,Chanchamayo Province,70,4,1,1,0,1,0,1,0,cocoa_sour_intense tangerine,3.5
1011,A_ Morin,France,2013,Ecuador,Equateur,70,4,1,1,0,1,0,1,0,sandy_ nutty_ cocoa_ fig,3.75
1015,A_ Morin,France,2013,Venezuela,Chuao,70,4,1,1,0,1,0,1,0,oily_ nut_ caramel_ raspberry,4
1019,A_ Morin,France,2013,Peru,Chanchamayo Province,63,3,1,1,0,1,0,0,0,sweet_ cocoa_ tangerine,4
1315,A_ Morin,France,2014,Venezuela,Carenero_ Criollo,70,4,1,1,0,1,0,1,0,harsh_ leather_ earthy,2.75
1315,A_ Morin,France,2014,Cuba,Cuba,70,4,1,1,0,1,0,1,0,sliglty dry_ papaya,3.5
1315,A_ Morin,France,2014,Venezuela,Sur del Lago_ Criollo,70,4,1,1,0,1,0,1,0,nutty_ mild choco_ roasty,3.5
1319,A_ Morin,France,2014,Venezuela,Puerto Cabello_ Criollo,70,4,1,1,0,1,0,1,0,astringent_ nutty_ chocolatey,3.75
1319,A_ Morin,France,2014,Peru,Pablino,70,4,1,1,0,1,0,1,0,delicate_ hazelnut_ brownie,4
1676,A_ Morin,France,2015,Togo,Kpime,70,4,1,1,0,1,0,1,0,burnt wood_ earthy_ choco,2.75
1676,A_ Morin,France,2015,Togo,Atsane,70,4,1,1,0,1,0,1,0,roasty_ acidic_ nutty,3
1680,A_ Morin,France,2015,Togo,Akata,70,4,1,1,0,1,0,1,0,mild profile_ chocolaty_ spice,3.5
1704,A_ Morin,France,2015,Peru,Quilla,70,4,1,1,0,1,0,1,0,grainy texture_ cocoa_ sweet,3.5
1876,A_ Morin,France,2016,Sao Tome,Agua Grande,63,4,1,1,0,1,0,1,0,sweet_ chocolatey_ vegetal,3.75
2206,A_ Morin,France,2018,Venezuela,Porcelana,70,4,1,1,0,1,0,1,0,alluring aroma_ powdery_nutty,3.5
2206,A_ Morin,France,2018,Peru,Absolu,63,4,1,1,0,1,0,1,0,sweet_ dairy_ spice_ cocoa,3.75
2648,A_ Morin,France,2021,Mexico,La Joya,70,4,1,1,0,1,0,1,0,light color_ fruit_ yogurt,4
1462,Acalli,U.S.A.,2015,Peru,Chulucanas_ El Platanal_ batch 001,70,2,1,1,0,0,0,0,0,yellow fruit,3.75
1470,Acalli,U.S.A.,2015,Peru,Tumbes_ Norandino,70,2,1,1,0,0,0,0,0,intense_ nutty_ cherry_ cocoa,3.75
2462,Acalli,U.S.A.,2020,Mexico,Teapa_ Tabasco_ batch 2,74,2,1,1,0,0,0,0,0,herbal_ molasses_ hammy,3.25
2470,Acalli,U.S.A.,2020,Peru,Barataria_ El Plantal and Norandino Tumbes blend,70,2,1,1,0,0,0,0,0,hot cocoa_ rich_ molasses,3.5
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60,3,1,1,0,1,0,0,0,sweet_ sublte strawberry,2.75
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu_ Toto-A,80,3,1,1,0,1,0,0,0,spicy and candy-like,3.25
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88,3,1,1,0,1,0,0,0,orange_ floral_ lemon,3.5
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu_ Ami-Ami-CA,72,3,1,1,0,1,0,0,0,cocoa and powerful tang,3.5
